Timestamp,SSID,RSSI,Channel
2025-04-13 10:33:21,SWARAJ,-56,6
2025-04-13 10:33:21,HEMLATA,-85,11
2025-04-13 10:33:21,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:33:21,TP-Link_68CE,-87,4
2025-04-13 10:33:30,SWARAJ,-54,6
2025-04-13 10:33:30,Airtel_Nitin Rohom Patil,-86,3
2025-04-13 10:33:30,HEMLATA,-86,11
2025-04-13 10:33:30,TP-Link_68CE,-90,4
2025-04-13 10:33:39,SWARAJ,-56,6
2025-04-13 10:33:39,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:33:39,TP-Link_68CE,-83,4
2025-04-13 10:33:39,HEMLATA,-85,11
2025-04-13 10:33:48,SWARAJ,-56,6
2025-04-13 10:33:48,Airtel_Nitin Rohom Patil,-79,3
2025-04-13 10:33:48,HEMLATA,-82,11
2025-04-13 10:33:48,TP-Link_68CE,-85,4
2025-04-13 10:33:57,SWARAJ,-56,6
2025-04-13 10:33:57,Airtel_Nitin Rohom Patil,-81,3
2025-04-13 10:33:57,HEMLATA,-83,11
2025-04-13 10:33:57,TP-Link_68CE,-89,4
2025-04-13 10:34:06,SWARAJ,-56,6
2025-04-13 10:34:06,Airtel_Nitin Rohom Patil,-80,3
2025-04-13 10:34:06,HEMLATA,-80,11
2025-04-13 10:34:06,TP-Link_68CE,-94,4
2025-04-13 10:34:15,SWARAJ,-55,6
2025-04-13 10:34:15,Airtel_Nitin Rohom Patil,-77,3
2025-04-13 10:34:15,HEMLATA,-80,11
2025-04-13 10:34:15,TP-Link_68CE,-82,4
2025-04-13 10:34:23,SWARAJ,-55,6
2025-04-13 10:34:23,HEMLATA,-79,11
2025-04-13 10:34:23,TP-Link_68CE,-85,4
2025-04-13 10:34:32,SWARAJ,-55,6
2025-04-13 10:34:32,Airtel_Nitin Rohom Patil,-76,3
2025-04-13 10:34:32,HEMLATA,-78,11
2025-04-13 10:34:32,TP-Link_68CE,-86,4
2025-04-13 10:34:41,SWARAJ,-55,6
2025-04-13 10:34:41,Airtel_Nitin Rohom Patil,-75,3
2025-04-13 10:34:41,TP-Link_68CE,-78,4
2025-04-13 10:34:41,HEMLATA,-80,11
2025-04-13 10:34:50,SWARAJ,-55,6
2025-04-13 10:34:50,Airtel_Nitin Rohom Patil,-75,3
2025-04-13 10:34:50,HEMLATA,-79,11
